question,answer
How do I create a new project in TaskFlow?,"To create a new project, click the '+' button in the top right corner of your dashboard, select 'New Project', enter your project name and description, then click 'Create'. You can also set project visibility and add team members during creation."
Can I export my project data?,"Yes, you can export your project data in multiple formats. Go to Project Settings > Export Data, then choose from CSV, JSON, or PDF formats. Premium users also have access to Excel export with advanced formatting options."
What are the different subscription tiers?,"TaskFlow offers three tiers: Free (up to 3 projects, 5 team members), Professional ($12/month per user, unlimited projects, 50 team members), and Enterprise (custom pricing, unlimited everything, dedicated support, SSO integration)."
How do I reset my password?,"Click 'Forgot Password' on the login page, enter your email address, and we'll send you a password reset link. The link expires in 24 hours. If you don't receive it, check your spam folder or contact support@taskflow.com."
Can I integrate TaskFlow with Slack?,"Yes! Go to Settings > Integrations > Slack, click 'Connect to Slack', and authorize the connection. You'll receive notifications for task assignments, comments, and deadlines directly in your chosen Slack channels."
How do I assign tasks to team members?,"Open any task, click the 'Assignee' field, and select one or more team members from the dropdown. You can also drag tasks to team members in Board view, or use '@mentions' in task descriptions to notify specific people."
What is the maximum file size for attachments?,"Free tier users can upload files up to 10MB per file. Professional users get 100MB per file, and Enterprise users have a 500MB limit. All tiers support common file types including PDFs, images, videos, and documents."
How do I delete my account?,"To delete your account, go to Settings > Account > Delete Account. You'll need to confirm by entering your password and typing 'DELETE' in the confirmation field. Note: This action is permanent and cannot be undone. All your data will be deleted within 30 days."
Can I customize the project dashboard?,"Yes! Click the 'Customize' button on your dashboard. You can add, remove, and rearrange widgets including task lists, calendars, team activity, and analytics charts. Your layout is saved automatically and syncs across all devices."
How do I set up recurring tasks?,"Open a task and click 'Make Recurring'. Choose your frequency (daily, weekly, monthly, or custom), set the recurrence pattern, and define when it should end. The system will automatically create new instances based on your schedule."
What mobile apps are available?,"TaskFlow is available on iOS (requires iOS 14+) and Android (requires Android 8+). Download from the App Store or Google Play. The mobile apps support offline mode, push notifications, and include most desktop features."
How do I invite team members to a project?,"Open your project, click 'Team' in the sidebar, then click 'Invite Members'. Enter email addresses (separated by commas for multiple invites) and select their permission level: Viewer, Editor, or Admin. They'll receive an email invitation."
Can I use TaskFlow offline?,"Yes, with our mobile apps and desktop client. Changes made offline are automatically synced when you reconnect. The web version requires internet connection. Offline mode is available on Professional and Enterprise plans only."
How do I change my email notifications settings?,"Go to Settings > Notifications. You can customize email frequency (instant, daily digest, weekly summary, or off), choose which events trigger notifications, and set quiet hours. Changes apply across all your projects."
What happens if I downgrade my subscription?,"When you downgrade, you'll keep your current features until the end of your billing cycle. After that, projects exceeding new limits will be archived (not deleted), and some features will be disabled. You can upgrade anytime to restore full access."
How do I create task dependencies?,"Open a task, scroll to the Dependencies section, and click 'Add Dependency'. Select the task that must be completed first. You can create multiple dependencies and view them in Gantt chart view. Dependencies prevent tasks from starting until prerequisites are done."
Can I filter tasks by multiple criteria?,"Yes! Click the filter icon and select multiple criteria like assignee, priority, status, tags, and due date. You can save custom filter combinations as 'Views' for quick access. Premium users can share filter views with team members."
How do I track time spent on tasks?,"Click the timer icon on any task to start tracking time. The timer runs in the background even if you close the tab. Manual time entries can be added by clicking 'Add Time Entry'. View detailed time reports in the Analytics section."
What security measures does TaskFlow have?,"TaskFlow uses 256-bit SSL encryption for all data transmission, stores data in SOC 2 compliant data centers, performs daily encrypted backups, offers two-factor authentication, and provides SSO integration for Enterprise users. We never sell your data."
How do I create task templates?,"Complete a task with all desired fields, checklists, and attachments. Click the three-dot menu and select 'Save as Template'. Name your template and choose whether to share it with your team. Access templates when creating new tasks via 'Use Template'."
Can I mention team members in comments?,"Yes! Type '@' followed by a team member's name in any comment field. They'll receive a notification and the comment will be highlighted for them. You can also use '@here' to notify all online team members or '@channel' for everyone in the project."
How do I set task priorities?,"Open a task and click the Priority field. Choose from Low, Medium, High, or Urgent. You can also color-code priorities in your board settings. Use the 'P' keyboard shortcut to quickly cycle through priorities when a task is selected."
What's the difference between projects and workspaces?,"Workspaces are top-level containers for organizing multiple related projects. Think of workspaces as departments or clients, and projects as specific initiatives within them. Each workspace has its own team members, settings, and billing. You can switch between workspaces using the dropdown menu."
How do I archive completed projects?,"Go to Project Settings > Archive Project. Archived projects are removed from your active dashboard but remain accessible in the Archive section. All data is preserved and you can restore projects anytime. Archiving doesn't count toward your project limits."
Can I automate repetitive workflows?,"Yes! Professional and Enterprise users have access to Automations. Go to Settings > Automations and create rules like 'When task status changes to Complete, assign a new task to Project Manager'. You can chain multiple actions and set conditions."
How do I generate reports?,"Navigate to Analytics from your dashboard or project menu. Choose from pre-built reports (task completion, team performance, time tracking) or create custom reports. You can export reports, schedule automatic email delivery, and share live dashboard links."
What keyboard shortcuts are available?,"Press '?' anywhere in TaskFlow to view all shortcuts. Common ones include: 'N' for new task, 'C' for new comment, '/' for search, 'Cmd/Ctrl+K' for quick actions. You can customize shortcuts in Settings > Keyboard Shortcuts."
How do I bulk edit tasks?,"Select multiple tasks by holding Cmd/Ctrl and clicking, or use the checkbox selection mode. Right-click and choose 'Bulk Edit' to change assignees, due dates, priorities, or tags for all selected tasks at once."
Can I import data from other tools?,"Yes! Go to Settings > Import Data and choose your source: Asana, Trello, Monday, Jira, or CSV. Follow the import wizard to map fields and select which data to import. The process preserves comments, attachments, and user assignments where possible."
How do I set up team permissions?,"Workspace Admins can configure permissions in Settings > Team Permissions. Define roles (Admin, Manager, Member, Guest) and customize what each role can do: create projects, delete tasks, manage team, access reports, etc. Changes apply workspace-wide."
