id,question,answer
0,How do I create a new project in TaskFlow?,"To create a new project, click the '+' button in the top right corner of your dashboard, select 'New Project', enter your project name and description, then click 'Create'. You can also set project visibility and add team members during creation."
1,Can I export my project data?,"Yes, you can export your project data in multiple formats. Go to Project Settings > Export Data, then choose from CSV, JSON, or PDF formats. Premium users also have access to Excel export with advanced formatting options."
2,What are the different subscription tiers?,"TaskFlow offers three tiers: Free (up to 3 projects, 5 team members), Professional ($12/month per user, unlimited projects, 50 team members), and Enterprise (custom pricing, unlimited everything, dedicated support, SSO integration)."
3,How do I reset my password?,"Click 'Forgot Password' on the login page, enter your email address, and we'll send you a password reset link. The link expires in 24 hours. If you don't receive it, check your spam folder or contact support@taskflow.com."
4,Can I integrate TaskFlow with Slack?,"Yes! Go to Settings > Integrations > Slack, click 'Connect to Slack', and authorize the connection. You'll receive notifications for task assignments, comments, and deadlines directly in your chosen Slack channels."
5,How do I assign tasks to team members?,"Open any task, click the 'Assignee' field, and select one or more team members from the dropdown. You can also drag tasks to team members in Board view, or use '@mentions' in task descriptions to notify specific people."
6,What is the maximum file size for attachments?,"Free tier users can upload files up to 10MB per file. Professional users get 100MB per file, and Enterprise users have a 500MB limit. All tiers support common file types including PDFs, images, videos, and documents."
7,How do I delete my account?,"To delete your account, go to Settings > Account > Delete Account. You'll need to confirm by entering your password and typing 'DELETE' in the confirmation field. Note: This action is permanent and cannot be undone. All your data will be deleted within 30 days."
8,Can I customize the project dashboard?,"Yes! Click the 'Customize' button on your dashboard. You can add, remove, and rearrange widgets including task lists, calendars, team activity, and analytics charts. Your layout is saved automatically and syncs across all devices."
9,How do I set up recurring tasks?,"Open a task and click 'Make Recurring'. Choose your frequency (daily, weekly, monthly, or custom), set the recurrence pattern, and define when it should end. The system will automatically create new instances based on your schedule."
10,What mobile apps are available?,"TaskFlow is available on iOS (requires iOS 14+) and Android (requires Android 8+). Download from the App Store or Google Play. The mobile apps support offline mode, push notifications, and include most desktop features."
11,How do I invite team members to a project?,"Open your project, click 'Team' in the sidebar, then click 'Invite Members'. Enter email addresses (separated by commas for multiple invites) and select their permission level: Viewer, Editor, or Admin. They'll receive an email invitation."
12,Can I use TaskFlow offline?,"Yes, with our mobile apps and desktop client. Changes made offline are automatically synced when you reconnect. The web version requires internet connection. Offline mode is available on Professional and Enterprise plans only."
13,How do I change my email notifications settings?,"Go to Settings > Notifications. You can customize email frequency (instant, daily digest, weekly summary, or off), choose which events trigger notifications, and set quiet hours. Changes apply across all your projects."
14,What happens if I downgrade my subscription?,"When you downgrade, you'll keep your current features until the end of your billing cycle. After that, projects exceeding new limits will be archived (not deleted), and some features will be disabled. You can upgrade anytime to restore full access."
